restaurant_name,restaurant_id,table_id,waiter_code,cashier_email,kds_email,password,manager_email,kds_id
stressone,f4354610-bcbc-40b1-a1f5-1afca6837682,0465458c-59e8-4e76-a21e-6e2ed4776d17,stress1wtr1,stress1cash@mailinator.com,stress1kds@mailinator.com,Test@123,stress1mgr@mailinator.com,8c220250-77c8-445a-8f67-491c00720ef9
stressone,f4354610-bcbc-40b1-a1f5-1afca6837682,089c4657-da47-42de-913f-0311ced3fc63,stress1wtr2,stress1cash@mailinator.com,stress1kds@mailinator.com,Test@123,,
stressone,f4354610-bcbc-40b1-a1f5-1afca6837682,0feb558b-2834-49d0-9d0b-08f7c00a48ae,stress1wtr3,stress1cash@mailinator.com,stress1kds@mailinator.com,Test@123,,
stressone,f4354610-bcbc-40b1-a1f5-1afca6837682,16f509d9-9966-489e-bfc4-642aaf269abb,stress1wtr4,stress1cash@mailinator.com,stress1kds@mailinator.com,Test@123,,
stressone,f4354610-bcbc-40b1-a1f5-1afca6837682,2887c695-786d-4614-8462-9078045b9f00,stress1wtr1,stress1cash@mailinator.com,stress1kds@mailinator.com,Test@123,,
stressone,f4354610-bcbc-40b1-a1f5-1afca6837682,487c7d22-ffd0-4eec-8e59-fe511c399234,stress1wtr2,stress1cash@mailinator.com,stress1kds@mailinator.com,Test@123,,
stressone,f4354610-bcbc-40b1-a1f5-1afca6837682,502f44db-e309-40b5-8dba-015bfe61c6d0,stress1wtr3,stress1cash@mailinator.com,stress1kds@mailinator.com,Test@123,,
stressone,f4354610-bcbc-40b1-a1f5-1afca6837682,524ff01b-db2e-4a8c-91ce-0b9bec21a37f,stress1wtr4,stress1cash@mailinator.com,stress1kds@mailinator.com,Test@123,,
stressone,f4354610-bcbc-40b1-a1f5-1afca6837682,5880123e-ceb8-4ed9-9127-a1b5c7fd90df,stress1wtr1,stress1cash@mailinator.com,stress1kds@mailinator.com,Test@123,,
stressone,f4354610-bcbc-40b1-a1f5-1afca6837682,5f34c55a-fc61-4c76-b73b-886cbdf89f0e,stress1wtr2,stress1cash@mailinator.com,stress1kds@mailinator.com,Test@123,,
stressone,f4354610-bcbc-40b1-a1f5-1afca6837682,6ee08347-844a-4114-bf7a-89a5d72c9d57,stress1wtr3,stress1cash@mailinator.com,stress1kds@mailinator.com,Test@123,,
stressone,f4354610-bcbc-40b1-a1f5-1afca6837682,8ddfa1d2-c6ec-479f-a877-4df75eaa22d8,stress1wtr4,stress1cash@mailinator.com,stress1kds@mailinator.com,Test@123,,
stressone,f4354610-bcbc-40b1-a1f5-1afca6837682,977ad4c8-02cd-48f0-9913-a3512ef88a29,stress1wtr1,stress1cash@mailinator.com,stress1kds@mailinator.com,Test@123,,
stressone,f4354610-bcbc-40b1-a1f5-1afca6837682,9a99dbf5-8063-416f-b307-46f5677bdd61,stress1wtr2,stress1cash@mailinator.com,stress1kds@mailinator.com,Test@123,,
stressone,f4354610-bcbc-40b1-a1f5-1afca6837682,b3c88e44-5892-48cf-b5d6-920afcbcaf6b,stress1wtr3,stress1cash@mailinator.com,stress1kds@mailinator.com,Test@123,,
stressone,f4354610-bcbc-40b1-a1f5-1afca6837682,bd66126d-000f-488e-8bd5-63c0f3393aa9,stress1wtr4,stress1cash@mailinator.com,stress1kds@mailinator.com,Test@123,,
stressone,f4354610-bcbc-40b1-a1f5-1afca6837682,c6f42c23-0f70-46e8-a76f-e8339b63d704,stress1wtr5,stress1cash@mailinator.com,stress1kds@mailinator.com,Test@123,,
stressone,f4354610-bcbc-40b1-a1f5-1afca6837682,cb413218-451f-4710-abb9-b1c2eae2d42b,stress1wtr5,stress1cash@mailinator.com,stress1kds@mailinator.com,Test@123,,
stressone,f4354610-bcbc-40b1-a1f5-1afca6837682,dfa25161-7ef7-4101-b3a3-d31763d5ed54,stress1wtr5,stress1cash@mailinator.com,stress1kds@mailinator.com,Test@123,,
stressone,f4354610-bcbc-40b1-a1f5-1afca6837682,e8ef4241-d91a-4cd6-99be-d254174fa204,stress1wtr5,stress1cash@mailinator.com,stress1kds@mailinator.com,Test@123,,
stressone,f4354610-bcbc-40b1-a1f5-1afca6837682,e9231d85-d5c9-42bf-adf5-192f95bc680e,stress1wtr5,stress1cash@mailinator.com,stress1kds@mailinator.com,Test@123,,
stresstwo,4366c7df-2fb2-410a-af65-5eca0894f4d6,068f1af6-e63c-43bd-8258-032a4b1eaa8a,stress2wtr1,stress2cash@mailinator.com,stress2kds@mailinator.com,Test@123,,
stresstwo,4366c7df-2fb2-410a-af65-5eca0894f4d6,1db516bc-ff56-4609-b115-e2560b479695,stress2wtr2,stress2cash@mailinator.com,stress2kds@mailinator.com,Test@123,,
stresstwo,4366c7df-2fb2-410a-af65-5eca0894f4d6,20be351f-c439-4b62-9703-ffe7b57f2bff,stress2wtr3,stress2cash@mailinator.com,stress2kds@mailinator.com,Test@123,,
stresstwo,4366c7df-2fb2-410a-af65-5eca0894f4d6,3a2fcb21-0021-402f-a50b-727bd1ec71f8,stress2wtr4,stress2cash@mailinator.com,stress2kds@mailinator.com,Test@123,,
stresstwo,4366c7df-2fb2-410a-af65-5eca0894f4d6,40eb675a-b71b-4fa2-ab37-6d2f398df659,stress2wtr1,stress2cash@mailinator.com,stress2kds@mailinator.com,Test@123,,
stresstwo,4366c7df-2fb2-410a-af65-5eca0894f4d6,45b51b0c-ae8a-46f6-ab42-1518f857d981,stress2wtr2,stress2cash@mailinator.com,stress2kds@mailinator.com,Test@123,,
stresstwo,4366c7df-2fb2-410a-af65-5eca0894f4d6,5908d995-de71-4fb1-ab81-873e85896460,stress2wtr3,stress2cash@mailinator.com,stress2kds@mailinator.com,Test@123,,
stresstwo,4366c7df-2fb2-410a-af65-5eca0894f4d6,5f0fa8a4-d5b1-4f68-9570-55f17343959f,stress2wtr4,stress2cash@mailinator.com,stress2kds@mailinator.com,Test@123,,
stresstwo,4366c7df-2fb2-410a-af65-5eca0894f4d6,712468a6-b354-4d1b-9b02-1a2a5ca72412,stress2wtr1,stress2cash@mailinator.com,stress2kds@mailinator.com,Test@123,,
stresstwo,4366c7df-2fb2-410a-af65-5eca0894f4d6,796c46dc-f8a5-4e07-8829-c0464f98d7cf,stress2wtr2,stress2cash@mailinator.com,stress2kds@mailinator.com,Test@123,,
